TID: 00878a19fa7f0000, SID: 0, DID: 0, CID: 0, time stamp: 84, AID: 0, The ship created
TID: 00770a19fa7f0000, SID: 1, DID: 0, CID: 0, time stamp: 86, AID: 0, The ship created
TID: 00678a18fa7f0000, SID: 2, DID: 0, CID: 0, time stamp: 127, AID: 0, The ship created
TID: 00370a17fa7f0000, SID: 6, DID: 0, CID: 0, time stamp: 588, AID: 0, The ship created
TID: 00f7ff0ffa7f0000, SID: 4, DID: 0, CID: 0, time stamp: 484, AID: 0, The ship created
TID: 00478a17fa7f0000, SID: 5, DID: 0, CID: 0, time stamp: 568, AID: 0, The ship created
TID: 00570a18fa7f0000, SID: 3, DID: 0, CID: 0, time stamp: 159, AID: 0, The ship created
TID: 00278a16fa7f0000, SID: 7, DID: 0, CID: 0, time stamp: 610, AID: 0, The ship created
TID: 00170a16fa7f0000, SID: 8, DID: 0, CID: 0, time stamp: 640, AID: 0, The ship created
TID: 00e78914fa7f0000, SID: 11, DID: 0, CID: 0, time stamp: 713, AID: 0, The ship created
TID: 00e77f0ffa7f0000, SID: 12, DID: 0, CID: 0, time stamp: 722, AID: 0, The ship created
TID: 00f70915fa7f0000, SID: 10, DID: 0, CID: 0, time stamp: 679, AID: 0, The ship created
TID: 00d7ff0efa7f0000, SID: 13, DID: 0, CID: 0, time stamp: 755, AID: 0, The ship created
TID: 00c77f0efa7f0000, SID: 14, DID: 0, CID: 0, time stamp: 766, AID: 0, The ship created
TID: 00078a15fa7f0000, SID: 9, DID: 0, CID: 0, time stamp: 658, AID: 0, The ship created
TID: 00a77f0dfa7f0000, SID: 16, DID: 0, CID: 0, time stamp: 827, AID: 0, The ship created
TID: 0097ff0cfa7f0000, SID: 17, DID: 0, CID: 0, time stamp: 840, AID: 0, The ship created
TID: 00b7ff0dfa7f0000, SID: 15, DID: 0, CID: 0, time stamp: 827, AID: 0, The ship created
TID: 00877f0cfa7f0000, SID: 18, DID: 0, CID: 0, time stamp: 865, AID: 0, The ship created
TID: 0077ff0bfa7f0000, SID: 19, DID: 0, CID: 0, time stamp: 877, AID: 0, The ship created
TID: 00677f0bfa7f0000, SID: 20, DID: 0, CID: 0, time stamp: 898, AID: 0, The ship created
TID: 0057ff0afa7f0000, SID: 21, DID: 0, CID: 0, time stamp: 916, AID: 0, The ship created
TID: 00477f0afa7f0000, SID: 22, DID: 0, CID: 0, time stamp: 933, AID: 0, The ship created
TID: 0037ff09fa7f0000, SID: 23, DID: 0, CID: 0, time stamp: 951, AID: 0, The ship created
TID: 00277f09fa7f0000, SID: 24, DID: 0, CID: 0, time stamp: 984, AID: 0, The ship created
TID: 0017ff08fa7f0000, SID: 25, DID: 0, CID: 0, time stamp: 1001, AID: 0, The ship created
