TID: 0067f23f1a7f0000, SID: 28, DID: 0, CID: 0, time stamp: 72, AID: 0, The ship created
TID: 0057723f1a7f0000, SID: 84, DID: 0, CID: 0, time stamp: 123, AID: 0, The ship created
TID: 0047f23e1a7f0000, SID: 0, DID: 0, CID: 0, time stamp: 127, AID: 0, The ship created
TID: 0017723d1a7f0000, SID: 17, DID: 0, CID: 0, time stamp: 251, AID: 0, The ship created
TID: 0037723e1a7f0000, SID: 95, DID: 0, CID: 0, time stamp: 130, AID: 0, The ship created
TID: 0007f23c1a7f0000, SID: 22, DID: 0, CID: 0, time stamp: 253, AID: 0, The ship created
TID: 0027f23d1a7f0000, SID: 37, DID: 0, CID: 0, time stamp: 194, AID: 0, The ship created
TID: 00f7ff371a7f0000, SID: 33, DID: 0, CID: 0, time stamp: 592, AID: 0, The ship created
TID: 00e77f371a7f0000, SID: 90, DID: 0, CID: 0, time stamp: 601, AID: 0, The ship created
TID: 00d7ff361a7f0000, SID: 92, DID: 0, CID: 0, time stamp: 618, AID: 0, The ship created
TID: 00c77f361a7f0000, SID: 23, DID: 0, CID: 0, time stamp: 633, AID: 0, The ship created
TID: 00b7ff351a7f0000, SID: 64, DID: 0, CID: 0, time stamp: 648, AID: 0, The ship created
TID: 00a77f351a7f0000, SID: 73, DID: 0, CID: 0, time stamp: 663, AID: 0, The ship created
TID: 0097ff341a7f0000, SID: 55, DID: 0, CID: 0, time stamp: 678, AID: 0, The ship created
TID: 00877f341a7f0000, SID: 19, DID: 0, CID: 0, time stamp: 693, AID: 0, The ship created
TID: 0077ff331a7f0000, SID: 49, DID: 0, CID: 0, time stamp: 708, AID: 0, The ship created
TID: 00677f331a7f0000, SID: 48, DID: 0, CID: 0, time stamp: 721, AID: 0, The ship created
TID: 0057ff321a7f0000, SID: 72, DID: 0, CID: 0, time stamp: 734, AID: 0, The ship created
TID: 00477f321a7f0000, SID: 74, DID: 0, CID: 0, time stamp: 749, AID: 0, The ship created
TID: 0037ff311a7f0000, SID: 94, DID: 0, CID: 0, time stamp: 764, AID: 0, The ship created
TID: 00277f311a7f0000, SID: 15, DID: 0, CID: 0, time stamp: 778, AID: 0, The ship created
TID: 0017ff301a7f0000, SID: 6, DID: 0, CID: 0, time stamp: 793, AID: 0, The ship created
TID: 00077f301a7f0000, SID: 12, DID: 0, CID: 0, time stamp: 829, AID: 0, The ship created
TID: 00f7fe2f1a7f0000, SID: 18, DID: 0, CID: 0, time stamp: 845, AID: 0, The ship created
TID: 00e77e2f1a7f0000, SID: 82, DID: 0, CID: 0, time stamp: 870, AID: 0, The ship created
TID: 00d7fe2e1a7f0000, SID: 4, DID: 0, CID: 0, time stamp: 884, AID: 0, The ship created
TID: 00c77e2e1a7f0000, SID: 20, DID: 0, CID: 0, time stamp: 898, AID: 0, The ship created
TID: 00b7fe2d1a7f0000, SID: 53, DID: 0, CID: 0, time stamp: 912, AID: 0, The ship created
TID: 00a77e2d1a7f0000, SID: 89, DID: 0, CID: 0, time stamp: 928, AID: 0, The ship created
TID: 0097fe2c1a7f0000, SID: 36, DID: 0, CID: 0, time stamp: 942, AID: 0, The ship created
TID: 00877e2c1a7f0000, SID: 60, DID: 0, CID: 0, time stamp: 957, AID: 0, The ship created
TID: 0077fe2b1a7f0000, SID: 3, DID: 0, CID: 0, time stamp: 972, AID: 0, The ship created
TID: 00677e2b1a7f0000, SID: 96, DID: 0, CID: 0, time stamp: 987, AID: 0, The ship created
TID: 0057fe2a1a7f0000, SID: 11, DID: 0, CID: 0, time stamp: 1004, AID: 0, The ship created
TID: 00477e2a1a7f0000, SID: 41, DID: 0, CID: 0, time stamp: 1018, AID: 0, The ship created
TID: 0037fe291a7f0000, SID: 57, DID: 0, CID: 0, time stamp: 1034, AID: 0, The ship created
